timestep,reward
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
