timestep,reward
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
54,3.0
